0,1
1,2
1,79
2,3
2,81
3,4
4,5
4,83
5,6
5,84
6,7
6,86
7,8
8,9
9,10
9,87
10,11
10,88
11,12
11,89
12,13
13,14
13,90
14,15
15,16
15,92
16,17
16,93
17,18
17,95
18,19
19,20
19,96
20,21
21,22
22,23
23,24
24,25
25,26
25,98
26,27
27,28
27,100
28,29
28,102
29,30
30,31
30,103
31,32
31,104
32,33
33,34
34,35
35,36
36,37
36,106
37,38
38,39
38,108
39,40
40,41
40,110
41,42
42,43
43,44
43,111
44,45
44,113
45,46
46,47
47,48
48,49
49,50
50,51
51,52
51,115
52,53
53,54
54,55
54,117
55,56
56,57
56,118
57,58
58,59
58,119
59,60
60,61
61,62
61,121
62,63
63,64
63,123
64,65
65,66
66,67
67,68
67,124
68,69
68,126
69,70
69,128
70,71
71,72
71,129
72,73
73,74
73,131
74,75
75,76
75,132
76,77
76,133
77,78
78,135
79,80
81,82
84,85
90,91
93,94
96,97
98,99
100,101
104,105
106,107
108,109
111,112
113,114
115,116
119,120
121,122
124,125
126,127
129,130
133,134
